bucket,index,file_type,size_bytes,relative_path,seed
10KB,1,bin,10240,10KB/10kb-001.bin,pqc-hons-benchmark-smoke-v1:warm
10KB,2,txt,10240,10KB/10kb-002.txt,pqc-hons-benchmark-smoke-v1:warm
10KB,3,json,10240,10KB/10kb-003.json,pqc-hons-benchmark-smoke-v1:warm
10KB,4,csv,10240,10KB/10kb-004.csv,pqc-hons-benchmark-smoke-v1:warm
100KB,1,bin,102400,100KB/100kb-001.bin,pqc-hons-benchmark-smoke-v1:warm
100KB,2,txt,102400,100KB/100kb-002.txt,pqc-hons-benchmark-smoke-v1:warm
100KB,3,json,102400,100KB/100kb-003.json,pqc-hons-benchmark-smoke-v1:warm
100KB,4,csv,102400,100KB/100kb-004.csv,pqc-hons-benchmark-smoke-v1:warm
1MB,1,bin,1048576,1MB/1mb-001.bin,pqc-hons-benchmark-smoke-v1:warm
1MB,2,txt,1048576,1MB/1mb-002.txt,pqc-hons-benchmark-smoke-v1:warm
1MB,3,json,1048576,1MB/1mb-003.json,pqc-hons-benchmark-smoke-v1:warm
1MB,4,csv,1048576,1MB/1mb-004.csv,pqc-hons-benchmark-smoke-v1:warm
10MB,1,bin,10485760,10MB/10mb-001.bin,pqc-hons-benchmark-smoke-v1:warm
10MB,2,txt,10485760,10MB/10mb-002.txt,pqc-hons-benchmark-smoke-v1:warm
10MB,3,json,10485760,10MB/10mb-003.json,pqc-hons-benchmark-smoke-v1:warm
10MB,4,csv,10485760,10MB/10mb-004.csv,pqc-hons-benchmark-smoke-v1:warm
50MB,1,bin,52428800,50MB/50mb-001.bin,pqc-hons-benchmark-smoke-v1:warm
50MB,2,txt,52428800,50MB/50mb-002.txt,pqc-hons-benchmark-smoke-v1:warm
50MB,3,json,52428800,50MB/50mb-003.json,pqc-hons-benchmark-smoke-v1:warm
50MB,4,csv,52428800,50MB/50mb-004.csv,pqc-hons-benchmark-smoke-v1:warm
